x u10 v10 w10 u15 v15 w15 u24 v24 w24
-3.69169 9.35935 0.0738069 3.20538e-05 14.381 0.070551 0.000310531 23.679 0.0392756 -8.02191e-06
-3.68769 9.35821 0.073963 3.22026e-05 14.3799 0.0707055 0.000310581 23.6784 0.0393647 -8.18848e-06
-3.68369 9.35705 0.0741195 3.25706e-05 14.3788 0.0708607 0.000310635 23.6778 0.0394543 -8.14422e-06
-3.67969 9.3559 0.0742763 3.28512e-05 14.3777 0.071016 0.000310538 23.6772 0.039544 -8.25633e-06
-3.67569 9.35474 0.0744336 3.32826e-05 14.3765 0.0711719 0.000310567 23.6765 0.0396339 -8.28928e-06
-3.67168 9.35357 0.0745907 3.34664e-05 14.3754 0.0713283 0.000310578 23.6759 0.0397242 -8.34618e-06
-3.66768 9.35241 0.0747496 3.38328e-05 14.3743 0.0714847 0.000310809 23.6753 0.0398145 -8.49795e-06
-3.66368 9.35125 0.0749075 3.43089e-05 14.3732 0.0716422 0.000310597 23.6747 0.0399052 -8.59382e-06
-3.65968 9.35007 0.0750657 3.46768e-05 14.372 0.0717993 0.000310706 23.674 0.039996 -8.72238e-06
-3.65568 9.3489 0.0752252 3.48182e-05 14.3709 0.0719573 0.00031062 23.6734 0.040087 -8.68604e-06
-3.65168 9.34773 0.0753847 3.51985e-05 14.3698 0.0721152 0.00031069 23.6728 0.0401784 -8.72945e-06
-3.64768 9.34655 0.0755443 3.54233e-05 14.3686 0.072274 0.000310796 23.6721 0.0402699 -8.79334e-06
-3.64367 9.34538 0.0757046 3.581e-05 14.3675 0.0724329 0.00031077 23.6715 0.0403617 -8.77751e-06
-3.63967 9.3442 0.0758649 3.60627e-05 14.3663 0.0725928 0.000311005 23.6709 0.0404537 -8.96412e-06
-3.63567 9.34301 0.0760256 3.64602e-05 14.3652 0.0727522 0.000311004 23.6702 0.0405462 -8.98401e-06
-3.63167 9.34182 0.0761875 3.6875e-05 14.364 0.0729127 0.000311121 23.6696 0.0406388 -9.10568e-06
-3.62767 9.34063 0.0763498 3.69502e-05 14.3629 0.073073 0.000311022 23.6689 0.0407318 -9.07142e-06
-3.62367 9.33944 0.0765115 3.74188e-05 14.3617 0.0732342 0.000311065 23.6683 0.0408247 -9.24444e-06
