x u10 v10 w10 u15 v15 w15 u24 v24 w24
-3.67168 9.42916 0.204386 -1.3009e-05 14.45 0.196136 0.000244867 23.7189 0.108659 -0.000121989
-3.66768 9.42818 0.204819 -1.28932e-05 14.4491 0.19656 0.000244572 23.7184 0.108901 -0.000122527
-3.66368 9.4272 0.205254 -1.28309e-05 14.4482 0.196986 0.000244285 23.7179 0.109146 -0.000123028
-3.65968 9.42622 0.205689 -1.27924e-05 14.4472 0.197412 0.000243931 23.7174 0.109391 -0.000123592
-3.65568 9.42524 0.206126 -1.26931e-05 14.4463 0.19784 0.000243751 23.7168 0.109635 -0.000124153
-3.65168 9.42425 0.206563 -1.23615e-05 14.4453 0.198268 0.000243421 23.7163 0.109881 -0.00012467
-3.64768 9.42326 0.207001 -1.22319e-05 14.4444 0.198699 0.000243155 23.7158 0.110128 -0.000125246
-3.64367 9.42227 0.207441 -1.21425e-05 14.4435 0.199128 0.000242859 23.7153 0.110375 -0.000125878
-3.63967 9.42127 0.207883 -1.19138e-05 14.4425 0.199561 0.000242511 23.7148 0.110624 -0.000126429
-3.63567 9.42028 0.208326 -1.17854e-05 14.4416 0.199995 0.000242143 23.7143 0.110872 -0.000126958
-3.63167 9.41928 0.20877 -1.18967e-05 14.4406 0.200429 0.000241729 23.7138 0.111122 -0.000127524
-3.62767 9.41828 0.209212 -1.16022e-05 14.4397 0.200866 0.000241528 23.7132 0.111372 -0.000127998
-3.62367 9.41729 0.209657 -1.16051e-05 14.4387 0.201302 0.000241221 23.7127 0.111622 -0.000128543
-3.61966 9.41628 0.210105 -1.14984e-05 14.4377 0.20174 0.000240951 23.7122 0.111874 -0.000129132
-3.61566 9.41527 0.210551 -1.13458e-05 14.4368 0.202179 0.000240633 23.7117 0.112127 -0.000129781
-3.61166 9.41427 0.211 -1.1207e-05 14.4358 0.202619 0.000240131 23.7111 0.112379 -0.000130315
-3.60766 9.41326 0.211451 -1.10097e-05 14.4349 0.203059 0.000239968 23.7106 0.112633 -0.000130893
-3.60366 9.41224 0.211902 -1.08255e-05 14.4339 0.203504 0.000239667 23.7101 0.112887 -0.000131515
-3.59966 9.41123 0.212355 -1.08476e-05 14.4329 0.203947 0.000239283 23.7096 0.113141 -0.000132046
-3.59566 9.41022 0.212807 -1.07284e-05 14.432 0.204391 0.000238903 23.709 0.113398 -0.000132637
-3.59165 9.4092 0.213262 -1.05511e-05 14.431 0.204838 0.000238558 23.7085 0.113655 -0.000133288
-3.58765 9.40818 0.213718 -1.02336e-05 14.43 0.205285 0.000238227 23.708 0.113912 -0.000133897
-3.58365 9.40716 0.214175 -1.02111e-05 14.429 0.205736 0.000237888 23.7074 0.114169 -0.000134427
-3.57965 9.40613 0.214632 -1.02709e-05 14.4281 0.206183 0.000237511 23.7069 0.114427 -0.000135121
